range,attacker_weapon,outcome,subtype,attacker_role,defender_role,text,tags
near,unarmed,miss,evade,cop,trickster,刑事が右拳を振る。愉快犯は首を沈め、拳が空を切った。,
near,unarmed,miss,evade,cop,trickster,刑事が踏み込んで打つ。愉快犯は半身を引き、拳筋を紙一重で外した。,
near,unarmed,miss,evade,trickster,cop,愉快犯が肘を入れる。刑事は上体を逸らし、打点をすり抜けた。,
near,unarmed,miss,evade,trickster,cop,愉快犯が素早く拳を飛ばす。刑事は頭を振り、拳先だけを外した。,
near,unarmed,miss,guard,cop,trickster,刑事が拳を叩き込む。愉快犯は両腕で受け、衝撃を散らした。,
near,unarmed,miss,guard,cop,trickster,刑事が打ち下ろす。愉快犯は前腕を立て、拳を弾き返した。,
near,unarmed,miss,guard,trickster,cop,愉快犯が拳を振る。刑事は前腕で受け、体勢を崩さない。,
near,unarmed,miss,guard,trickster,cop,愉快犯が肘を打つ。刑事は肩で線を潰し、打点を止めた。,
near,unarmed,miss,deflect,cop,trickster,刑事が拳を入れる。愉快犯は手首を払って軌道を逸らし、拳が横へ流れた。,
near,unarmed,miss,deflect,cop,trickster,刑事の右が伸びる。愉快犯は肘で流し、芯だけをずらした。,
near,unarmed,miss,deflect,trickster,cop,愉快犯が打ち込む。刑事は手首を叩いて線を逸らし、拳を空へ逃がした。,
near,unarmed,miss,deflect,trickster,cop,愉快犯の拳が伸びる。刑事は肘で流し、打点だけを外す。,
near,unarmed,miss,clinch,cop,trickster,刑事が間合いを潰す。愉快犯は襟を掴み、拳を振らせない。,
near,unarmed,miss,clinch,cop,trickster,刑事が踏み込む。愉快犯は腕を絡め、動きを封じた。,
near,unarmed,miss,clinch,trickster,cop,愉快犯が距離を詰める。刑事は首を抱え、打撃の角度を殺した。,
near,unarmed,miss,clinch,trickster,cop,愉快犯が押し込む。刑事は腕を絡め、拳を封じた。,
near,unarmed,hit,chip,cop,trickster,刑事の拳が浅く入る。愉快犯の頬が弾け、体勢が一瞬だけ浮いた。,defender_stance=stretched
near,unarmed,hit,chip,trickster,cop,愉快犯の拳が掠める。刑事は引くが遅れ、顎が揺れた。,defender_stance=stretched
near,unarmed,hit,counter,cop,trickster,刑事がいなして返す。拳が脇腹を捉え、愉快犯の足が止まった。,tempo_flip=to_attacker
near,unarmed,hit,counter,trickster,cop,愉快犯が線をずらして返す。肘が腕を浅く取って、刑事の踏み込みが鈍る。,tempo_flip=to_attacker
near,unarmed,hit,seize,cop,trickster,刑事が腕を取り、手首を極めた。愉快犯の自由が一段落ちる。,grapple+1
near,unarmed,hit,seize,trickster,cop,愉快犯が首を抱え込み、体重を預けた。刑事の動きが一段鈍る。,grapple+1
